date,areaType,areaCode,areaName,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
27/11/2020,region,E12000008,South East,2056,40
26/04/2020,region,E12000001,North East,159,34
21/06/2020,region,E12000004,East Midlands,131,7
13/07/2020,region,E12000005,West Midlands,79,0
26/11/2020,region,E12000008,South East,1756,47
25/04/2020,region,E12000001,North East,215,49
12/07/2020,region,E12000005,West Midlands,38,0
20/06/2020,region,E12000004,East Midlands,145,12
24/04/2020,region,E12000001,North East,332,29
25/11/2020,region,E12000008,South East,2046,52
23/04/2020,region,E12000001,North East,332,34
11/07/2020,region,E12000005,West Midlands,41,0
10/07/2020,region,E12000005,West Midlands,43,1
09/07/2020,region,E12000005,West Midlands,121,6
08/07/2020,region,E12000005,West Midlands,65,0
07/07/2020,region,E12000005,West Midlands,60,4
06/07/2020,region,E12000005,West Midlands,53,5
22/04/2020,region,E12000001,North East,362,38
21/04/2020,region,E12000001,North East,287,37
20/04/2020,region,E12000001,North East,315,43
19/04/2020,region,E12000001,North East,276,45
05/07/2020,region,E12000005,West Midlands,36,2
04/07/2020,region,E12000005,West Midlands,23,4
18/04/2020,region,E12000001,North East,380,50
