date,areaType,areaCode,areaName,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
10/12/2020,region,E12000005,West Midlands,1683,53
09/12/2020,region,E12000005,West Midlands,1656,50
08/12/2020,region,E12000005,West Midlands,1720,62
07/12/2020,region,E12000005,West Midlands,1735,47
06/12/2020,region,E12000005,West Midlands,1131,56
05/12/2020,region,E12000005,West Midlands,1104,50
02/10/2020,region,E12000004,East Midlands,1200,1
04/12/2020,region,E12000005,West Midlands,1391,60
03/12/2020,region,E12000005,West Midlands,1348,61
01/10/2020,region,E12000004,East Midlands,1046,2
02/12/2020,region,E12000005,West Midlands,1473,44
19/10/2020,region,E12000001,North East,1410,22
01/12/2020,region,E12000005,West Midlands,1530,47
30/11/2020,region,E12000005,West Midlands,1700,67
18/10/2020,region,E12000001,North East,824,15
29/11/2020,region,E12000005,West Midlands,1119,73
28/11/2020,region,E12000005,West Midlands,1135,49
27/11/2020,region,E12000005,West Midlands,1563,46
17/10/2020,region,E12000001,North East,808,18
16/10/2020,region,E12000001,North East,1080,15
15/10/2020,region,E12000001,North East,1169,16
14/10/2020,region,E12000001,North East,1387,16
13/10/2020,region,E12000001,North East,1295,13
26/11/2020,region,E12000005,West Midlands,1696,60
25/11/2020,region,E12000005,West Midlands,1911,50
24/11/2020,region,E12000005,West Midlands,2023,51
23/11/2020,region,E12000005,West Midlands,2240,61
22/11/2020,region,E12000005,West Midlands,1473,57
12/10/2020,region,E12000001,North East,1386,11
30/09/2020,region,E12000004,East Midlands,871,2
29/09/2020,region,E12000004,East Midlands,604,3
28/09/2020,region,E12000004,East Midlands,561,1
27/09/2020,region,E12000004,East Midlands,396,4
21/11/2020,region,E12000005,West Midlands,1590,54
20/11/2020,region,E12000005,West Midlands,2302,61
26/09/2020,region,E12000004,East Midlands,323,1
25/09/2020,region,E12000004,East Midlands,328,3
24/09/2020,region,E12000004,East Midlands,334,3
23/09/2020,region,E12000004,East Midlands,296,1
11/10/2020,region,E12000001,North East,931,14
10/10/2020,region,E12000001,North East,843,16
19/11/2020,region,E12000005,West Midlands,2373,55
09/10/2020,region,E12000001,North East,1178,7
18/11/2020,region,E12000005,West Midlands,2609,61
08/10/2020,region,E12000001,North East,1377,13
22/09/2020,region,E12000004,East Midlands,269,3
17/11/2020,region,E12000005,West Midlands,3031,46
07/10/2020,region,E12000001,North East,1472,11
21/09/2020,region,E12000004,East Midlands,292,3
06/10/2020,region,E12000001,North East,1442,10
16/11/2020,region,E12000005,West Midlands,3381,51
05/10/2020,region,E12000001,North East,1374,7
20/09/2020,region,E12000004,East Midlands,265,0
04/10/2020,region,E12000001,North East,1197,9
15/11/2020,region,E12000005,West Midlands,2028,52
03/10/2020,region,E12000001,North East,1163,7
19/09/2020,region,E12000004,East Midlands,248,2
14/11/2020,region,E12000005,West Midlands,2365,43
02/10/2020,region,E12000001,North East,1217,18
18/09/2020,region,E12000004,East Midlands,259,1
13/11/2020,region,E12000005,West Midlands,3041,37
01/10/2020,region,E12000001,North East,1181,5
30/09/2020,region,E12000001,North East,962,3
12/11/2020,region,E12000005,West Midlands,3094,44
17/09/2020,region,E12000004,East Midlands,252,0
29/09/2020,region,E12000001,North East,1045,5
11/11/2020,region,E12000005,West Midlands,3533,47
28/09/2020,region,E12000001,North East,969,6
16/09/2020,region,E12000004,East Midlands,243,1
10/11/2020,region,E12000005,West Midlands,3640,44
27/09/2020,region,E12000001,North East,660,11
26/09/2020,region,E12000001,North East,778,8
09/11/2020,region,E12000005,West Midlands,3931,40
15/09/2020,region,E12000004,East Midlands,206,1
25/09/2020,region,E12000001,North East,607,6
08/11/2020,region,E12000005,West Midlands,2450,38
14/09/2020,region,E12000004,East Midlands,201,1
24/09/2020,region,E12000001,North East,719,1
07/11/2020,region,E12000005,West Midlands,2265,43
23/09/2020,region,E12000001,North East,640,5
06/11/2020,region,E12000005,West Midlands,2792,36
13/09/2020,region,E12000004,East Midlands,123,1
22/09/2020,region,E12000001,North East,549,2
05/11/2020,region,E12000005,West Midlands,2835,38
21/09/2020,region,E12000001,North East,610,5
12/09/2020,region,E12000004,East Midlands,141,3
20/09/2020,region,E12000001,North East,590,3
04/11/2020,region,E12000005,West Midlands,2739,38
11/09/2020,region,E12000004,East Midlands,218,0
19/09/2020,region,E12000001,North East,434,1
03/11/2020,region,E12000005,West Midlands,3101,31
10/09/2020,region,E12000004,East Midlands,207,0
18/09/2020,region,E12000001,North East,462,3
02/11/2020,region,E12000005,West Midlands,3641,38
17/09/2020,region,E12000001,North East,370,4
01/11/2020,region,E12000005,West Midlands,1613,28
09/09/2020,region,E12000004,East Midlands,252,1
16/09/2020,region,E12000001,North East,328,2
31/10/2020,region,E12000005,West Midlands,1940,33
08/09/2020,region,E12000004,East Midlands,311,0
15/09/2020,region,E12000001,North East,263,1
30/10/2020,region,E12000005,West Midlands,2589,30
14/09/2020,region,E12000001,North East,196,1
07/09/2020,region,E12000004,East Midlands,343,1
29/10/2020,region,E12000005,West Midlands,2488,25
13/09/2020,region,E12000001,North East,141,1
28/10/2020,region,E12000005,West Midlands,2540,14
06/09/2020,region,E12000004,East Midlands,135,1
12/09/2020,region,E12000001,North East,156,0
27/10/2020,region,E12000005,West Midlands,2426,26
05/09/2020,region,E12000004,East Midlands,166,0
11/09/2020,region,E12000001,North East,200,1
26/10/2020,region,E12000005,West Midlands,2635,26
10/09/2020,region,E12000001,North East,235,0
04/09/2020,region,E12000004,East Midlands,182,2
25/10/2020,region,E12000005,West Midlands,1587,17
09/09/2020,region,E12000001,North East,234,0
03/09/2020,region,E12000004,East Midlands,234,0
24/10/2020,region,E12000005,West Midlands,1542,11
08/09/2020,region,E12000001,North East,224,0
23/10/2020,region,E12000005,West Midlands,2033,23
07/09/2020,region,E12000001,North East,203,1
02/09/2020,region,E12000004,East Midlands,244,1
22/10/2020,region,E12000005,West Midlands,2111,21
06/09/2020,region,E12000001,North East,170,1
01/09/2020,region,E12000004,East Midlands,157,0
21/10/2020,region,E12000005,West Midlands,2230,12
05/09/2020,region,E12000001,North East,233,1
04/09/2020,region,E12000001,North East,176,0
20/10/2020,region,E12000005,West Midlands,2275,17
03/09/2020,region,E12000001,North East,204,0
02/09/2020,region,E12000001,North East,127,0
01/09/2020,region,E12000001,North East,118,0
31/08/2020,region,E12000001,North East,91,0
30/08/2020,region,E12000001,North East,61,0
29/08/2020,region,E12000001,North East,78,1
28/08/2020,region,E12000001,North East,67,1
27/08/2020,region,E12000001,North East,66,0
26/08/2020,region,E12000001,North East,68,0
25/08/2020,region,E12000001,North East,49,0
24/08/2020,region,E12000001,North East,39,0
31/08/2020,region,E12000004,East Midlands,87,1
23/08/2020,region,E12000001,North East,23,0
19/10/2020,region,E12000005,West Midlands,2204,11
18/10/2020,region,E12000005,West Midlands,1185,6
17/10/2020,region,E12000005,West Midlands,1233,14
16/10/2020,region,E12000005,West Midlands,1617,13
22/08/2020,region,E12000001,North East,33,0
30/08/2020,region,E12000004,East Midlands,61,2
21/08/2020,region,E12000001,North East,42,0
29/08/2020,region,E12000004,East Midlands,48,0
28/08/2020,region,E12000004,East Midlands,95,0
27/08/2020,region,E12000004,East Midlands,83,1
20/08/2020,region,E12000001,North East,43,0
19/08/2020,region,E12000001,North East,46,0
15/10/2020,region,E12000005,West Midlands,1584,12
18/08/2020,region,E12000001,North East,36,1
14/10/2020,region,E12000005,West Midlands,1571,9
17/08/2020,region,E12000001,North East,32,1
13/10/2020,region,E12000005,West Midlands,1491,8
16/08/2020,region,E12000001,North East,11,0
15/08/2020,region,E12000001,North East,18,1
12/10/2020,region,E12000005,West Midlands,1497,5
26/08/2020,region,E12000004,East Midlands,91,0
25/08/2020,region,E12000004,East Midlands,73,2
11/10/2020,region,E12000005,West Midlands,916,13
10/10/2020,region,E12000005,West Midlands,921,3
09/10/2020,region,E12000005,West Midlands,1190,2
08/10/2020,region,E12000005,West Midlands,1265,11
07/10/2020,region,E12000005,West Midlands,1217,5
06/10/2020,region,E12000005,West Midlands,1216,8
05/10/2020,region,E12000005,West Midlands,1154,5
04/10/2020,region,E12000005,West Midlands,682,8
03/10/2020,region,E12000005,West Midlands,743,5
02/10/2020,region,E12000005,West Midlands,941,5
14/08/2020,region,E12000001,North East,31,0
13/08/2020,region,E12000001,North East,53,0
12/08/2020,region,E12000001,North East,39,0
24/08/2020,region,E12000004,East Midlands,88,0
23/08/2020,region,E12000004,East Midlands,52,0
11/08/2020,region,E12000001,North East,45,1
10/08/2020,region,E12000001,North East,21,0
22/08/2020,region,E12000004,East Midlands,49,1
21/08/2020,region,E12000004,East Midlands,101,1
20/08/2020,region,E12000004,East Midlands,100,1
19/08/2020,region,E12000004,East Midlands,101,0
18/08/2020,region,E12000004,East Midlands,77,0
09/08/2020,region,E12000001,North East,15,0
08/08/2020,region,E12000001,North East,12,0
07/08/2020,region,E12000001,North East,15,0
17/08/2020,region,E12000004,East Midlands,138,0
01/10/2020,region,E12000005,West Midlands,886,8
30/09/2020,region,E12000005,West Midlands,936,6
29/09/2020,region,E12000005,West Midlands,754,3
06/08/2020,region,E12000001,North East,24,0
28/09/2020,region,E12000005,West Midlands,696,6
05/08/2020,region,E12000001,North East,30,0
27/09/2020,region,E12000005,West Midlands,494,6
04/08/2020,region,E12000001,North East,20,0
03/08/2020,region,E12000001,North East,19,0
02/08/2020,region,E12000001,North East,16,0
01/08/2020,region,E12000001,North East,9,0
31/07/2020,region,E12000001,North East,12,0
30/07/2020,region,E12000001,North East,15,0
29/07/2020,region,E12000001,North East,21,0
28/07/2020,region,E12000001,North East,5,0
27/07/2020,region,E12000001,North East,9,0
16/08/2020,region,E12000004,East Midlands,58,0
26/07/2020,region,E12000001,North East,6,0
15/08/2020,region,E12000004,East Midlands,55,0
25/07/2020,region,E12000001,North East,5,0
24/07/2020,region,E12000001,North East,7,0
23/07/2020,region,E12000001,North East,8,0
14/08/2020,region,E12000004,East Midlands,87,0
13/08/2020,region,E12000004,East Midlands,109,1
12/08/2020,region,E12000004,East Midlands,119,1
11/08/2020,region,E12000004,East Midlands,176,2
10/08/2020,region,E12000004,East Midlands,210,2
22/07/2020,region,E12000001,North East,16,0
21/07/2020,region,E12000001,North East,14,0
20/07/2020,region,E12000001,North East,11,0
19/07/2020,region,E12000001,North East,7,1
18/07/2020,region,E12000001,North East,4,0
17/07/2020,region,E12000001,North East,10,1
16/07/2020,region,E12000001,North East,15,0
15/07/2020,region,E12000001,North East,16,0
14/07/2020,region,E12000001,North East,12,0
09/08/2020,region,E12000004,East Midlands,72,0
13/07/2020,region,E12000001,North East,9,0
12/07/2020,region,E12000001,North East,3,0
08/08/2020,region,E12000004,East Midlands,74,1
11/07/2020,region,E12000001,North East,7,0
26/09/2020,region,E12000005,West Midlands,564,4
10/07/2020,region,E12000001,North East,10,0
25/09/2020,region,E12000005,West Midlands,600,4
09/07/2020,region,E12000001,North East,17,0
24/09/2020,region,E12000005,West Midlands,690,5
08/07/2020,region,E12000001,North East,12,0
23/09/2020,region,E12000005,West Midlands,684,12
07/07/2020,region,E12000001,North East,12,0
07/08/2020,region,E12000004,East Midlands,91,0
22/09/2020,region,E12000005,West Midlands,610,3
06/07/2020,region,E12000001,North East,11,0
21/09/2020,region,E12000005,West Midlands,647,3
05/07/2020,region,E12000001,North East,4,0
06/08/2020,region,E12000004,East Midlands,113,0
04/07/2020,region,E12000001,North East,9,1
20/09/2020,region,E12000005,West Midlands,598,7
05/08/2020,region,E12000004,East Midlands,115,0
03/07/2020,region,E12000001,North East,8,0
19/09/2020,region,E12000005,West Midlands,579,2
04/08/2020,region,E12000004,East Midlands,88,2
02/07/2020,region,E12000001,North East,9,1
18/09/2020,region,E12000005,West Midlands,581,5
01/07/2020,region,E12000001,North East,7,0
17/09/2020,region,E12000005,West Midlands,505,2
03/08/2020,region,E12000004,East Midlands,108,1
30/06/2020,region,E12000001,North East,11,0
16/09/2020,region,E12000005,West Midlands,455,3
29/06/2020,region,E12000001,North East,11,0
02/08/2020,region,E12000004,East Midlands,54,2
15/09/2020,region,E12000005,West Midlands,361,1
28/06/2020,region,E12000001,North East,9,2
01/08/2020,region,E12000004,East Midlands,69,0
27/06/2020,region,E12000001,North East,14,2
14/09/2020,region,E12000005,West Midlands,323,3
26/06/2020,region,E12000001,North East,8,1
31/07/2020,region,E12000004,East Midlands,75,0
13/09/2020,region,E12000005,West Midlands,216,3
25/06/2020,region,E12000001,North East,12,3
30/07/2020,region,E12000004,East Midlands,110,1
12/09/2020,region,E12000005,West Midlands,290,0
24/06/2020,region,E12000001,North East,11,2
11/09/2020,region,E12000005,West Midlands,359,1
23/06/2020,region,E12000001,North East,26,3
10/09/2020,region,E12000005,West Midlands,385,1
22/06/2020,region,E12000001,North East,24,4
09/09/2020,region,E12000005,West Midlands,386,0
21/06/2020,region,E12000001,North East,4,5
08/09/2020,region,E12000005,West Midlands,430,3
20/06/2020,region,E12000001,North East,17,2
19/06/2020,region,E12000001,North East,14,0
07/09/2020,region,E12000005,West Midlands,487,2
18/06/2020,region,E12000001,North East,23,4
06/09/2020,region,E12000005,West Midlands,320,0
17/06/2020,region,E12000001,North East,19,0
05/09/2020,region,E12000005,West Midlands,307,0
07/01/2021,region,E12000008,South East,413,36
16/06/2020,region,E12000001,North East,18,7
04/09/2020,region,E12000005,West Midlands,434,1
29/07/2020,region,E12000004,East Midlands,108,1
15/06/2020,region,E12000001,North East,32,0
03/09/2020,region,E12000005,West Midlands,364,0
06/01/2021,region,E12000008,South East,3519,114
05/01/2021,region,E12000008,South East,7669,127
04/01/2021,region,E12000008,South East,11727,139
03/01/2021,region,E12000008,South East,8284,110
02/01/2021,region,E12000008,South East,9476,108
02/09/2020,region,E12000005,West Midlands,346,0
01/01/2021,region,E12000008,South East,5525,92
28/07/2020,region,E12000004,East Midlands,77,1
27/07/2020,region,E12000004,East Midlands,92,1
14/06/2020,region,E12000001,North East,31,3
01/09/2020,region,E12000005,West Midlands,255,0
31/12/2020,region,E12000008,South East,8442,112
13/06/2020,region,E12000001,North East,32,1
26/07/2020,region,E12000004,East Midlands,38,5
31/08/2020,region,E12000005,West Midlands,127,0
30/12/2020,region,E12000008,South East,12081,129
12/06/2020,region,E12000001,North East,40,4
25/07/2020,region,E12000004,East Midlands,44,2
24/07/2020,region,E12000004,East Midlands,83,0
23/07/2020,region,E12000004,East Midlands,94,1
22/07/2020,region,E12000004,East Midlands,88,0
21/07/2020,region,E12000004,East Midlands,68,5
20/07/2020,region,E12000004,East Midlands,82,2
19/07/2020,region,E12000004,East Midlands,48,3
18/07/2020,region,E12000004,East Midlands,63,1
30/08/2020,region,E12000005,West Midlands,94,1
17/07/2020,region,E12000004,East Midlands,80,2
29/08/2020,region,E12000005,West Midlands,112,1
28/08/2020,region,E12000005,West Midlands,154,1
27/08/2020,region,E12000005,West Midlands,144,1
11/06/2020,region,E12000001,North East,23,3
26/08/2020,region,E12000005,West Midlands,125,4
10/06/2020,region,E12000001,North East,37,6
25/08/2020,region,E12000005,West Midlands,143,0
09/06/2020,region,E12000001,North East,40,3
08/06/2020,region,E12000001,North East,35,7
24/08/2020,region,E12000005,West Midlands,137,0
07/06/2020,region,E12000001,North East,17,9
23/08/2020,region,E12000005,West Midlands,82,0
06/06/2020,region,E12000001,North East,28,2
22/08/2020,region,E12000005,West Midlands,76,0
05/06/2020,region,E12000001,North East,42,11
21/08/2020,region,E12000005,West Midlands,103,0
04/06/2020,region,E12000001,North East,59,9
03/06/2020,region,E12000001,North East,51,8
02/06/2020,region,E12000001,North East,59,14
29/12/2020,region,E12000008,South East,14646,112
28/12/2020,region,E12000008,South East,7896,115
16/07/2020,region,E12000004,East Midlands,92,4
01/06/2020,region,E12000001,North East,71,3
31/05/2020,region,E12000001,North East,46,8
30/05/2020,region,E12000001,North East,46,8
29/05/2020,region,E12000001,North East,70,21
28/05/2020,region,E12000001,North East,49,13
27/05/2020,region,E12000001,North East,116,10
26/05/2020,region,E12000001,North East,100,15
25/05/2020,region,E12000001,North East,59,7
27/12/2020,region,E12000008,South East,8005,127
24/05/2020,region,E12000001,North East,76,14
26/12/2020,region,E12000008,South East,7344,104
23/05/2020,region,E12000001,North East,76,14
20/08/2020,region,E12000005,West Midlands,163,0
22/05/2020,region,E12000001,North East,95,13
19/08/2020,region,E12000005,West Midlands,118,0
15/07/2020,region,E12000004,East Midlands,113,4
21/05/2020,region,E12000001,North East,130,20
14/07/2020,region,E12000004,East Midlands,89,2
18/08/2020,region,E12000005,West Midlands,110,0
17/08/2020,region,E12000005,West Midlands,138,0
16/08/2020,region,E12000005,West Midlands,73,0
13/07/2020,region,E12000004,East Midlands,104,1
15/08/2020,region,E12000005,West Midlands,96,1
12/07/2020,region,E12000004,East Midlands,46,2
11/07/2020,region,E12000004,East Midlands,94,2
20/05/2020,region,E12000001,North East,131,15
19/05/2020,region,E12000001,North East,124,20
18/05/2020,region,E12000001,North East,147,31
10/07/2020,region,E12000004,East Midlands,99,2
09/07/2020,region,E12000004,East Midlands,95,5
25/12/2020,region,E12000008,South East,2468,114
14/08/2020,region,E12000005,West Midlands,172,1
13/08/2020,region,E12000005,West Midlands,117,0
12/08/2020,region,E12000005,West Midlands,133,0
11/08/2020,region,E12000005,West Midlands,163,1
10/08/2020,region,E12000005,West Midlands,158,0
17/05/2020,region,E12000001,North East,98,27
09/08/2020,region,E12000005,West Midlands,76,0
08/08/2020,region,E12000005,West Midlands,74,1
07/08/2020,region,E12000005,West Midlands,105,3
06/08/2020,region,E12000005,West Midlands,113,0
05/08/2020,region,E12000005,West Midlands,95,0
08/07/2020,region,E12000004,East Midlands,110,2
04/08/2020,region,E12000005,West Midlands,98,2
03/08/2020,region,E12000005,West Midlands,89,0
07/07/2020,region,E12000004,East Midlands,108,2
06/07/2020,region,E12000004,East Midlands,139,3
05/07/2020,region,E12000004,East Midlands,127,4
16/05/2020,region,E12000001,North East,126,32
15/05/2020,region,E12000001,North East,137,21
14/05/2020,region,E12000001,North East,139,22
24/12/2020,region,E12000008,South East,5707,89
23/12/2020,region,E12000008,South East,7012,99
02/08/2020,region,E12000005,West Midlands,43,0
22/12/2020,region,E12000008,South East,8350,95
01/08/2020,region,E12000005,West Midlands,54,0
21/12/2020,region,E12000008,South East,8901,105
20/12/2020,region,E12000008,South East,5999,82
19/12/2020,region,E12000008,South East,3967,73
18/12/2020,region,E12000008,South East,6241,60
17/12/2020,region,E12000008,South East,5912,81
16/12/2020,region,E12000008,South East,6029,77
15/12/2020,region,E12000008,South East,6036,69
14/12/2020,region,E12000008,South East,5996,65
13/12/2020,region,E12000008,South East,3686,64
31/07/2020,region,E12000005,West Midlands,81,1
30/07/2020,region,E12000005,West Midlands,80,0
29/07/2020,region,E12000005,West Midlands,90,0
12/12/2020,region,E12000008,South East,3290,55
28/07/2020,region,E12000005,West Midlands,89,0
04/07/2020,region,E12000004,East Midlands,85,2
03/07/2020,region,E12000004,East Midlands,108,1
11/12/2020,region,E12000008,South East,4073,67
13/05/2020,region,E12000001,North East,142,29
02/07/2020,region,E12000004,East Midlands,105,4
12/05/2020,region,E12000001,North East,220,18
11/05/2020,region,E12000001,North East,228,25
01/07/2020,region,E12000004,East Midlands,120,4
10/05/2020,region,E12000001,North East,150,18
09/05/2020,region,E12000001,North East,150,25
30/06/2020,region,E12000004,East Midlands,129,5
27/07/2020,region,E12000005,West Midlands,77,2
10/12/2020,region,E12000008,South East,3583,50
08/05/2020,region,E12000001,North East,160,26
29/06/2020,region,E12000004,East Midlands,129,5
26/07/2020,region,E12000005,West Midlands,65,0
09/12/2020,region,E12000008,South East,3234,54
07/05/2020,region,E12000001,North East,199,33
25/07/2020,region,E12000005,West Midlands,67,3
28/06/2020,region,E12000004,East Midlands,78,4
06/05/2020,region,E12000001,North East,243,25
08/12/2020,region,E12000008,South East,3138,62
24/07/2020,region,E12000005,West Midlands,79,0
05/05/2020,region,E12000001,North East,252,27
27/06/2020,region,E12000004,East Midlands,87,6
07/12/2020,region,E12000008,South East,3290,38
04/05/2020,region,E12000001,North East,232,28
23/07/2020,region,E12000005,West Midlands,89,3
06/12/2020,region,E12000008,South East,2029,44
03/05/2020,region,E12000001,North East,163,29
26/06/2020,region,E12000004,East Midlands,114,5
22/07/2020,region,E12000005,West Midlands,79,3
02/05/2020,region,E12000001,North East,183,40
05/12/2020,region,E12000008,South East,1881,43
25/06/2020,region,E12000004,East Midlands,125,11
21/07/2020,region,E12000005,West Midlands,80,1
01/05/2020,region,E12000001,North East,273,39
04/12/2020,region,E12000008,South East,2333,54
20/07/2020,region,E12000005,West Midlands,83,1
24/06/2020,region,E12000004,East Midlands,173,13
30/04/2020,region,E12000001,North East,383,33
03/12/2020,region,E12000008,South East,2285,56
19/07/2020,region,E12000005,West Midlands,40,0
29/04/2020,region,E12000001,North East,357,28
23/06/2020,region,E12000004,East Midlands,170,6
02/12/2020,region,E12000008,South East,2282,42
28/04/2020,region,E12000001,North East,361,42
18/07/2020,region,E12000005,West Midlands,51,0
27/04/2020,region,E12000001,North East,282,32
22/06/2020,region,E12000004,East Midlands,177,7
01/12/2020,region,E12000008,South East,2282,49
17/07/2020,region,E12000005,West Midlands,69,1
30/11/2020,region,E12000008,South East,2413,31
16/07/2020,region,E12000005,West Midlands,65,0
29/11/2020,region,E12000008,South East,1465,50
15/07/2020,region,E12000005,West Midlands,107,2
28/11/2020,region,E12000008,South East,1459,33
14/07/2020,region,E12000005,West Midlands,71,0
