date,areaType,areaCode,areaName,newDeaths28DaysByDeathDate
20/08/2020,overview,K02000001,United Kingdom,8
19/08/2020,overview,K02000001,United Kingdom,3
18/08/2020,overview,K02000001,United Kingdom,9
17/08/2020,overview,K02000001,United Kingdom,12
16/08/2020,overview,K02000001,United Kingdom,4
15/08/2020,overview,K02000001,United Kingdom,12
14/08/2020,overview,K02000001,United Kingdom,7
13/08/2020,overview,K02000001,United Kingdom,9
12/08/2020,overview,K02000001,United Kingdom,7
11/08/2020,overview,K02000001,United Kingdom,10
10/08/2020,overview,K02000001,United Kingdom,13
09/08/2020,overview,K02000001,United Kingdom,8
08/08/2020,overview,K02000001,United Kingdom,14
07/08/2020,overview,K02000001,United Kingdom,12
06/08/2020,overview,K02000001,United Kingdom,9
05/08/2020,overview,K02000001,United Kingdom,6
04/08/2020,overview,K02000001,United Kingdom,14
03/08/2020,overview,K02000001,United Kingdom,15
02/08/2020,overview,K02000001,United Kingdom,10
01/08/2020,overview,K02000001,United Kingdom,11
31/07/2020,overview,K02000001,United Kingdom,14
30/07/2020,overview,K02000001,United Kingdom,10
29/07/2020,overview,K02000001,United Kingdom,12
28/07/2020,overview,K02000001,United Kingdom,12
27/07/2020,overview,K02000001,United Kingdom,11
26/07/2020,overview,K02000001,United Kingdom,16
25/07/2020,overview,K02000001,United Kingdom,15
24/07/2020,overview,K02000001,United Kingdom,7
23/07/2020,overview,K02000001,United Kingdom,16
22/07/2020,overview,K02000001,United Kingdom,17
21/07/2020,overview,K02000001,United Kingdom,20
20/07/2020,overview,K02000001,United Kingdom,12
19/07/2020,overview,K02000001,United Kingdom,14
18/07/2020,overview,K02000001,United Kingdom,14
17/07/2020,overview,K02000001,United Kingdom,18
16/07/2020,overview,K02000001,United Kingdom,13
15/07/2020,overview,K02000001,United Kingdom,20
14/07/2020,overview,K02000001,United Kingdom,21
13/07/2020,overview,K02000001,United Kingdom,24
12/07/2020,overview,K02000001,United Kingdom,13
11/07/2020,overview,K02000001,United Kingdom,22
10/07/2020,overview,K02000001,United Kingdom,21
09/07/2020,overview,K02000001,United Kingdom,37
08/07/2020,overview,K02000001,United Kingdom,24
07/07/2020,overview,K02000001,United Kingdom,27
06/07/2020,overview,K02000001,United Kingdom,35
05/07/2020,overview,K02000001,United Kingdom,27
04/07/2020,overview,K02000001,United Kingdom,33
03/07/2020,overview,K02000001,United Kingdom,29
02/07/2020,overview,K02000001,United Kingdom,43
01/07/2020,overview,K02000001,United Kingdom,27
30/06/2020,overview,K02000001,United Kingdom,47
29/06/2020,overview,K02000001,United Kingdom,39
28/06/2020,overview,K02000001,United Kingdom,44
27/06/2020,overview,K02000001,United Kingdom,49
26/06/2020,overview,K02000001,United Kingdom,42
25/06/2020,overview,K02000001,United Kingdom,67
24/06/2020,overview,K02000001,United Kingdom,75
23/06/2020,overview,K02000001,United Kingdom,64
22/06/2020,overview,K02000001,United Kingdom,64
21/06/2020,overview,K02000001,United Kingdom,54
20/06/2020,overview,K02000001,United Kingdom,60
19/06/2020,overview,K02000001,United Kingdom,52
18/06/2020,overview,K02000001,United Kingdom,61
17/06/2020,overview,K02000001,United Kingdom,58
16/06/2020,overview,K02000001,United Kingdom,84
15/06/2020,overview,K02000001,United Kingdom,70
14/06/2020,overview,K02000001,United Kingdom,87
13/06/2020,overview,K02000001,United Kingdom,63
12/06/2020,overview,K02000001,United Kingdom,79
11/06/2020,overview,K02000001,United Kingdom,80
10/06/2020,overview,K02000001,United Kingdom,109
09/06/2020,overview,K02000001,United Kingdom,90
08/06/2020,overview,K02000001,United Kingdom,123
07/06/2020,overview,K02000001,United Kingdom,127
06/06/2020,overview,K02000001,United Kingdom,111
05/06/2020,overview,K02000001,United Kingdom,122
04/06/2020,overview,K02000001,United Kingdom,134
03/06/2020,overview,K02000001,United Kingdom,155
02/06/2020,overview,K02000001,United Kingdom,169
01/06/2020,overview,K02000001,United Kingdom,135
31/05/2020,overview,K02000001,United Kingdom,126
30/05/2020,overview,K02000001,United Kingdom,163
29/05/2020,overview,K02000001,United Kingdom,186
28/05/2020,overview,K02000001,United Kingdom,217
27/05/2020,overview,K02000001,United Kingdom,197
26/05/2020,overview,K02000001,United Kingdom,212
25/05/2020,overview,K02000001,United Kingdom,201
24/05/2020,overview,K02000001,United Kingdom,195
23/05/2020,overview,K02000001,United Kingdom,216
22/05/2020,overview,K02000001,United Kingdom,222
21/05/2020,overview,K02000001,United Kingdom,237
20/05/2020,overview,K02000001,United Kingdom,267
19/05/2020,overview,K02000001,United Kingdom,275
18/05/2020,overview,K02000001,United Kingdom,293
17/05/2020,overview,K02000001,United Kingdom,266
16/05/2020,overview,K02000001,United Kingdom,313
15/05/2020,overview,K02000001,United Kingdom,312
14/05/2020,overview,K02000001,United Kingdom,333
13/05/2020,overview,K02000001,United Kingdom,316
12/05/2020,overview,K02000001,United Kingdom,320
11/05/2020,overview,K02000001,United Kingdom,308
10/05/2020,overview,K02000001,United Kingdom,347
09/05/2020,overview,K02000001,United Kingdom,378
08/05/2020,overview,K02000001,United Kingdom,381
07/05/2020,overview,K02000001,United Kingdom,460
06/05/2020,overview,K02000001,United Kingdom,461
05/05/2020,overview,K02000001,United Kingdom,463
04/05/2020,overview,K02000001,United Kingdom,483
03/05/2020,overview,K02000001,United Kingdom,448
02/05/2020,overview,K02000001,United Kingdom,493
01/05/2020,overview,K02000001,United Kingdom,567
30/04/2020,overview,K02000001,United Kingdom,549
29/04/2020,overview,K02000001,United Kingdom,569
28/04/2020,overview,K02000001,United Kingdom,560
27/04/2020,overview,K02000001,United Kingdom,595
26/04/2020,overview,K02000001,United Kingdom,633
25/04/2020,overview,K02000001,United Kingdom,645
24/04/2020,overview,K02000001,United Kingdom,682
23/04/2020,overview,K02000001,United Kingdom,674
22/04/2020,overview,K02000001,United Kingdom,728
21/04/2020,overview,K02000001,United Kingdom,742
20/04/2020,overview,K02000001,United Kingdom,782
19/04/2020,overview,K02000001,United Kingdom,763
18/04/2020,overview,K02000001,United Kingdom,799
17/04/2020,overview,K02000001,United Kingdom,819
16/04/2020,overview,K02000001,United Kingdom,838
15/04/2020,overview,K02000001,United Kingdom,879
14/04/2020,overview,K02000001,United Kingdom,859
13/04/2020,overview,K02000001,United Kingdom,893
12/04/2020,overview,K02000001,United Kingdom,957
11/04/2020,overview,K02000001,United Kingdom,955
10/04/2020,overview,K02000001,United Kingdom,942
09/04/2020,overview,K02000001,United Kingdom,998
08/04/2020,overview,K02000001,United Kingdom,1072
07/04/2020,overview,K02000001,United Kingdom,999
06/04/2020,overview,K02000001,United Kingdom,892
05/04/2020,overview,K02000001,United Kingdom,914
04/04/2020,overview,K02000001,United Kingdom,904
03/04/2020,overview,K02000001,United Kingdom,839
02/04/2020,overview,K02000001,United Kingdom,805
01/04/2020,overview,K02000001,United Kingdom,767
31/03/2020,overview,K02000001,United Kingdom,661
30/03/2020,overview,K02000001,United Kingdom,585
29/03/2020,overview,K02000001,United Kingdom,507
28/03/2020,overview,K02000001,United Kingdom,436
27/03/2020,overview,K02000001,United Kingdom,399
26/03/2020,overview,K02000001,United Kingdom,360
25/03/2020,overview,K02000001,United Kingdom,302
24/03/2020,overview,K02000001,United Kingdom,237
23/03/2020,overview,K02000001,United Kingdom,186
22/03/2020,overview,K02000001,United Kingdom,165
21/03/2020,overview,K02000001,United Kingdom,131
20/03/2020,overview,K02000001,United Kingdom,109
19/03/2020,overview,K02000001,United Kingdom,74
18/03/2020,overview,K02000001,United Kingdom,68
17/03/2020,overview,K02000001,United Kingdom,52
16/03/2020,overview,K02000001,United Kingdom,46
15/03/2020,overview,K02000001,United Kingdom,32
14/03/2020,overview,K02000001,United Kingdom,22
13/03/2020,overview,K02000001,United Kingdom,16
12/03/2020,overview,K02000001,United Kingdom,13
11/03/2020,overview,K02000001,United Kingdom,8
10/03/2020,overview,K02000001,United Kingdom,3
09/03/2020,overview,K02000001,United Kingdom,5
08/03/2020,overview,K02000001,United Kingdom,3
07/03/2020,overview,K02000001,United Kingdom,0
06/03/2020,overview,K02000001,United Kingdom,0
05/03/2020,overview,K02000001,United Kingdom,3
04/03/2020,overview,K02000001,United Kingdom,0
03/03/2020,overview,K02000001,United Kingdom,2
02/03/2020,overview,K02000001,United Kingdom,1
01/03/2020,overview,K02000001,United Kingdom,0
29/02/2020,overview,K02000001,United Kingdom,0
28/02/2020,overview,K02000001,United Kingdom,0
27/02/2020,overview,K02000001,United Kingdom,0
26/02/2020,overview,K02000001,United Kingdom,0
25/02/2020,overview,K02000001,United Kingdom,0
24/02/2020,overview,K02000001,United Kingdom,0
23/02/2020,overview,K02000001,United Kingdom,0
22/02/2020,overview,K02000001,United Kingdom,0
21/02/2020,overview,K02000001,United Kingdom,0
20/02/2020,overview,K02000001,United Kingdom,0
19/02/2020,overview,K02000001,United Kingdom,0
18/02/2020,overview,K02000001,United Kingdom,0
17/02/2020,overview,K02000001,United Kingdom,0
16/02/2020,overview,K02000001,United Kingdom,0
15/02/2020,overview,K02000001,United Kingdom,0
14/02/2020,overview,K02000001,United Kingdom,0
13/02/2020,overview,K02000001,United Kingdom,0
12/02/2020,overview,K02000001,United Kingdom,0
11/02/2020,overview,K02000001,United Kingdom,0
10/02/2020,overview,K02000001,United Kingdom,0
09/02/2020,overview,K02000001,United Kingdom,0
08/02/2020,overview,K02000001,United Kingdom,0
07/02/2020,overview,K02000001,United Kingdom,0
06/02/2020,overview,K02000001,United Kingdom,0
05/02/2020,overview,K02000001,United Kingdom,0
04/02/2020,overview,K02000001,United Kingdom,0
03/02/2020,overview,K02000001,United Kingdom,0
02/02/2020,overview,K02000001,United Kingdom,0
01/02/2020,overview,K02000001,United Kingdom,0
31/01/2020,overview,K02000001,United Kingdom,0
30/01/2020,overview,K02000001,United Kingdom,0
29/01/2020,overview,K02000001,United Kingdom,0
28/01/2020,overview,K02000001,United Kingdom,0
27/01/2020,overview,K02000001,United Kingdom,0
26/01/2020,overview,K02000001,United Kingdom,0
25/01/2020,overview,K02000001,United Kingdom,0
24/01/2020,overview,K02000001,United Kingdom,0
23/01/2020,overview,K02000001,United Kingdom,0
22/01/2020,overview,K02000001,United Kingdom,0
21/01/2020,overview,K02000001,United Kingdom,0
20/01/2020,overview,K02000001,United Kingdom,0
19/01/2020,overview,K02000001,United Kingdom,0
18/01/2020,overview,K02000001,United Kingdom,0
17/01/2020,overview,K02000001,United Kingdom,0
16/01/2020,overview,K02000001,United Kingdom,0
15/01/2020,overview,K02000001,United Kingdom,0
14/01/2020,overview,K02000001,United Kingdom,0
13/01/2020,overview,K02000001,United Kingdom,0
12/01/2020,overview,K02000001,United Kingdom,0
11/01/2020,overview,K02000001,United Kingdom,0
